Asset,frequency,start,end,Record_exist,Record_missing
FR40EUR,Minutes_5,23/04/2019 19:25,06/08/2019 22:55,4059,5289
FR40EUR,Weekly,02/02/2003 00:00,04/08/2019 00:00,845,17
GBPAUD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
GBPAUD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
GBPAUD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
GBPAUD,Minutely,05/08/2019 15:39,07/08/2019 02:45,2073,34
GBPAUD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
GBPAUD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
GBPAUD,Minutes_5,29/07/2019 02:30,07/08/2019 02:45,2018,2
GBPAUD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
GBPCAD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
GBPCAD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
GBPCAD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
GBPCAD,Minutely,05/08/2019 15:38,07/08/2019 02:45,2073,35
GBPCAD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
GBPCAD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
GBPCAD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
GBPCAD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
GBPCHF,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
GBPCHF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
GBPCHF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
GBPCHF,Minutely,05/08/2019 15:46,07/08/2019 02:45,2072,28
GBPCHF,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
GBPCHF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
